Latitude;Longitude;Z
43.32128;-1.92267;20
43.29389;-2.191197;35
43.24333;-2.39783;78
43.27773;-2.24759;43
43.28316;-2.13512;144
43.19776;-2.041079;7
43.23592;-2.40257;37
43.20685;-2.419713;37
43.3162;-1.898009;53
43.28118;-2.191887;134
43.27071;-2.36964;70
43.29627;-1.99529;23
43.28662;-2.02457;42
43.02731;-2.220601;74
43.02728;-2.22077;74
43.28449;-2.3443;58
43.28809;-2.03578;60
43.21296;-2.412905;37
43.19017;-2.447997;0
43.28577;-2.35533;34
43.3048;-1.89467;100
43.30835;-1.92857;116
43.31105;-1.93971;18
43.2978;-1.977038;40
43.27339;-2.256027;83
43.28588;-2.355285;34
43.25757;-2.38525;67
43.29852;-2.0086;75
43.27025;-2.26745;93
43.26376;-2.3773;86
43.30872;-1.91785;118
43.31758;-1.911955;29
43.28176;-2.17948;117
43.33959;-1.75347;6
43.20109;-2.43002;37
43.22789;-2.02639;45
43.30883;-1.91847;118
43.3422;-1.8191;41
43.14782;-2.07093;44
43.12755;-2.083848;49
43.29639;-1.99537;23
43.29835;-2.00874;75
43.28797;-2.03542;60
43.08776;-2.13226;128
43.33287;-1.82271;95
43.341;-1.77669;5
43.26318;-2.3758;86
43.33727;-1.76458;6
43.09963;-2.10852;30
42.95731;-2.237762;47
42.93969;-2.226421;68
43.25169;-2.39082;67
43.30881;-1.91776;118
42.95595;-2.23403;47
43.28455;-2.33227;59
43.28297;-2.2153;24
43.2922;-2.0169;42
43.08675;-2.13437;128
43.25931;-2.28653;94
43.22748;-2.4029;37
43.28303;-2.21507;24
43.31643;-1.96032;80
43.31595;-1.94908;18
43.31109;-1.93938;18
43.28312;-2.3204;17
43.18735;-2.459319;39
43.25184;-2.39051;67
43.29825;-1.97683;40
43.11992;-2.089964;57
43.28137;-2.20357;24
43.04856;-2.23217;87
43.28135;-2.11134;55
43.28145;-2.11138;55
43.2811;-2.01876;12
43.24555;-2.02276;26
43.29021;-2.01925;42
43.13042;-2.072584;115
43.33529;-1.773933;5
43.31541;-1.86419;124
43.2847;-2.33205;59
43.33963;-1.753419;6
43.33514;-1.77408;5
43.31914;-1.83151;9
43.28176;-2.17911;117
43.27744;-2.31104;119
43.27927;-2.15706;27
43.25952;-2.01939;77
43.131;-2.072345;115
43.3455;-1.79945;31
43.31114;-1.96993;19
43.11148;-2.092851;30
43.26989;-2.30492;120
43.28447;-2.100434;1
43.0249;-2.2313;74
43.27048;-2.36969;70
43.03551;-2.217886;109
43.28434;-2.34463;58
43.31564;-1.94916;18
42.97567;-2.23374;88
42.96735;-2.237133;139
43.19026;-2.448013;0
43.25741;-2.38517;67
42.96708;-2.236583;139
43.21926;-2.02494;56
43.27798;-2.009798;12
42.9757;-2.233582;88
43.187;-2.47727;39
43.21893;-2.40476;37
43.30751;-1.88421;25
43.09147;-2.123992;2
43.308;-1.90561;133
43.06419;-2.16688;54
43.30321;-2.20691;98
43.33155;-1.84299;38
43.28055;-2.01848;12
43.15613;-2.0669;13
43.28999;-2.017291;42
43.29304;-2.04414;71
43.30757;-1.884196;25
43.27793;-2.37373;70
43.21869;-2.02474;56
43.31658;-1.85257;96
43.31083;-1.8737;25
43.21251;-2.030405;92
43.30253;-1.96952;19
43.32761;-1.80965;95
43.22348;-2.40822;37
43.29891;-1.73226;123
43.06648;-2.28714;46
43.2847;-2.000591;23
43.31923;-1.831511;9
43.32436;-1.82079;95
43.31547;-1.944893;18
43.23556;-2.02862;3
43.33094;-1.79831;154
43.31717;-1.842223;14
43.20553;-2.036471;10
43.139;-2.069108;44
43.32779;-1.80964;95
43.21253;-2.03006;92
43.19736;-2.0412;7
43.22701;-2.02554;45
43.10132;-2.38487;50
43.29267;-2.06658;104
43.28213;-2.122863;148
43.28933;-2.07762;15
42.98466;-2.23823;112
43.29256;-2.06658;104
43.2833;-2.320741;17
43.33168;-1.78644;129
43.3308;-1.79839;154
43.2594;-2.28593;94
43.2867;-2.02466;42
43.17283;-2.060633;13
43.10619;-2.09748;30
43.26413;-2.29532;110
43.20559;-2.03635;10
43.07077;-2.160685;137
