Latitude;Longitude;Zone
43.3422;-1.8191;41
43.27829;-2.17011;27
43.27829;-2.17011;27
43.27339;-2.256027;83
43.2922;-2.0169;42
43.2922;-2.0169;42
43.24349;-2.39779;78
43.24349;-2.39779;78
43.00771;-2.236686;61
43.00771;-2.236686;61
43.28797;-2.03542;60
43.3422;-1.8191;41
43.30895;-1.91667;118
43.31088;-1.96974;19
43.28434;-2.34463;58
43.28434;-2.34463;58
43.28434;-2.34463;58
43.30757;-1.884196;25
43.30757;-1.884196;25
43.29825;-1.97683;40
43.2922;-2.0169;42
43.33976;-1.755993;6
43.28434;-2.34463;58
43.22748;-2.4029;37
43.22748;-2.4029;37
43.30757;-1.884196;25
43.30757;-1.884196;25
43.308;-1.90561;133
43.28434;-2.34463;58
43.308;-1.90561;133
43.28434;-2.34463;58
43.20097;-2.430067;37
43.25757;-2.38525;67
43.25184;-2.39051;67
43.00771;-2.236686;61
43.00771;-2.236686;61
43.28588;-2.355285;34
43.29825;-1.97683;40
43.308;-1.90561;133
43.29825;-1.97683;40
43.308;-1.90561;133
43.27048;-2.36969;70
43.28297;-2.2153;24
43.27025;-2.26745;93
43.27811;-2.36314;91
43.27811;-2.36314;91
43.29825;-1.97683;40
43.308;-1.90561;133
43.28588;-2.355285;34
43.28297;-2.2153;24
43.28297;-2.2153;24
43.29825;-1.97683;40
43.28297;-2.2153;24
43.28297;-2.2153;24
43.25184;-2.39051;67
43.29825;-1.97683;40
43.28577;-2.35533;34
43.27006;-2.37164;70
43.28297;-2.2153;24
43.25184;-2.39051;67
42.95694;-2.23743;47
43.29825;-1.97683;40
43.28297;-2.2153;24
43.25184;-2.39051;67
43.31595;-1.94908;18
43.02731;-2.220601;74
43.29639;-1.99537;23
43.30491;-1.89449;100
43.30491;-1.89449;100
43.28297;-2.2153;24
43.28297;-2.2153;24
43.28137;-2.20357;24
43.22748;-2.4029;37
43.22748;-2.4029;37
43.23597;-2.40268;37
43.29825;-1.97683;40
43.2847;-2.33205;59
43.25184;-2.39051;67
43.28137;-2.20357;24
43.28797;-2.03542;60
43.3422;-1.8191;41
43.30895;-1.91667;118
43.2922;-2.0169;42
43.28809;-2.03578;60
43.27773;-2.24759;43
43.18735;-2.459319;39
43.29825;-1.97683;40
43.2867;-2.02466;42
43.27045;-2.26732;93
43.25931;-2.28653;94
43.25931;-2.28653;94
43.25757;-2.38525;67
43.25757;-2.38525;67
43.25757;-2.38525;67
43.31109;-1.93938;18
43.29825;-1.97683;40
43.27773;-2.24759;43
43.25931;-2.28653;94
43.22744;-2.40304;37
43.29825;-1.97683;40
43.29825;-1.97683;40
43.28809;-2.03578;60
43.29835;-2.00874;75
43.29835;-2.00874;75
43.29835;-2.00874;75
43.28809;-2.03578;60
43.29852;-2.0086;75
43.28809;-2.03578;60
43.29291;-2.016993;42
43.29825;-1.97683;40
43.28297;-2.2153;24
43.28297;-2.2153;24
43.28297;-2.2153;24
43.27346;-2.25627;83
43.26376;-2.3773;86
43.30757;-1.884196;25
43.308;-1.90561;133
43.28118;-2.191887;134
43.30757;-1.884196;25
43.308;-1.90561;133
43.308;-1.90561;133
43.29825;-1.97683;40
43.28118;-2.191887;134
43.25952;-2.01939;77
43.25952;-2.01939;77
43.28118;-2.191887;134
43.29825;-1.97683;40
43.31923;-1.831511;9
43.30881;-1.91776;118
43.31109;-1.93938;18
43.31109;-1.93938;18
43.29825;-1.97683;40
43.28118;-2.191887;134
42.98433;-2.238316;112
43.28137;-2.20357;24
43.27045;-2.26732;93
43.27773;-2.24759;43
43.28137;-2.20357;24
43.29291;-2.016993;42
43.28809;-2.03578;60
43.2636;-2.27567;103
43.28664;-2.0888;111
43.28664;-2.0888;111
43.28653;-2.08884;111
43.29304;-2.04414;71
43.28118;-2.191887;134
43.28797;-2.03542;60
43.28797;-2.03542;60
43.29304;-2.04414;71
43.29825;-1.97683;40
43.28118;-2.191887;134
43.28509;-2.22645;147
43.28797;-2.03542;60
43.29825;-1.97683;40
43.28118;-2.191887;134
43.28118;-2.191887;134
43.27773;-2.24759;43
43.28588;-2.355285;34
43.28509;-2.22645;147
43.27773;-2.24759;43
43.27045;-2.26732;93
43.27045;-2.26732;93
43.25931;-2.28653;94
43.29825;-1.97683;40
43.28118;-2.191887;134
43.26371;-2.275519;103
43.27346;-2.25627;83
43.2594;-2.28593;94
43.30895;-1.91667;118
43.29825;-1.97683;40
43.28118;-2.191887;134
43.26371;-2.275519;103
43.27346;-2.25627;83
43.2594;-2.28593;94
43.29825;-1.97683;40
43.29825;-1.97683;40
43.28118;-2.191887;134
43.26371;-2.275519;103
43.2847;-2.33205;59
43.28194;-2.23743;82
43.27346;-2.25627;83
43.26412;-2.29552;110
43.26371;-2.275519;103
43.30895;-1.91667;118
43.28194;-2.23743;82
43.27346;-2.25627;83
43.26412;-2.29552;110
43.26371;-2.275519;103
43.2594;-2.28593;94
43.27025;-2.26745;93
43.31083;-1.8737;25
43.31109;-1.93938;18
43.31083;-1.8737;25
43.29835;-2.00874;75
43.29835;-2.00874;75
43.29825;-1.97683;40
43.26371;-2.275519;103
43.27025;-2.26745;93
43.26371;-2.275519;103
43.26983;-2.30507;120
43.26983;-2.30507;120
43.27025;-2.26745;93
43.26371;-2.275519;103
43.26983;-2.30507;120
43.19026;-2.448013;0
43.19026;-2.448013;0
43.05069;-2.18009;105
43.29825;-1.97683;40
43.27025;-2.26745;93
43.28194;-2.23743;82
43.26371;-2.275519;103
43.26412;-2.29552;110
43.23592;-2.40257;37
43.23592;-2.40257;37
43.19026;-2.448013;0
43.19026;-2.448013;0
43.27025;-2.26745;93
43.28194;-2.23743;82
43.26371;-2.275519;103
43.26412;-2.29552;110
43.23592;-2.40257;37
43.27025;-2.26745;93
43.27025;-2.26745;93
43.28194;-2.23743;82
43.26371;-2.275519;103
43.26412;-2.29552;110
43.26412;-2.29552;110
43.23592;-2.40257;37
43.05069;-2.18009;105
43.05069;-2.18009;105
43.02731;-2.220601;74
43.29825;-1.97683;40
43.29825;-1.97683;40
43.25184;-2.39051;67
43.28194;-2.23743;82
43.27927;-2.15706;27
43.25184;-2.39051;67
43.28194;-2.23743;82
43.28194;-2.23743;82
43.27927;-2.15706;27
43.26371;-2.275519;103
43.26983;-2.30507;120
43.19441;-2.43787;37
43.29825;-1.97683;40
43.29825;-1.97683;40
43.33727;-1.76458;6
43.33727;-1.76458;6
43.33727;-1.76458;6
43.27339;-2.256027;83
43.27339;-2.256027;83
43.33727;-1.76458;6
43.26371;-2.275519;103
43.21296;-2.412905;37
43.21296;-2.412905;37
